slovo,emocia,vyskyty
dobro,1,31475
tmavý,-1,31274
tvorivý,1,31183
závažný,-1,31096
reálne,1,31069
nákladný,-1,31001
záchranný,1,30812
morálny,1,30805
špecifický,1,30550
prudký,-1,30219
poškodený,-1,30153
negatívne,-1,29848
aktívne,1,29827
dostupný,1,29605
absolútne,1,29411
obmedzený,-1,29296
efektívny,1,29175
jemný,1,29035
nezamestnaný,-1,28994
jednotný,1,28902
mierový,1,28834
komplexný,1,28631
verný,1,28475
podozrivý,-1,28411
uzavretý,-1,28364
vojnový,-1,28288
slušný,1,27824
relatívne,1,27130
kultúrne,1,26651
kompletný,1,26638
rastúci,1,26585
veselý,1,26577
prestížny,1,26513
múdry,1,26440
počítačový,-1,26328
chladný,-1,26319
citlivý,-1,26151
funkčný,1,25734
mocný,1,25487
nešťastný,-1,25440
závislý,-1,25397
popredný,1,25184
chránený,1,25173
nepriaznivý,-1,24924
tradične,1,24901
zábavný,1,24891
dočasný,-1,24887
ohrozený,-1,24575
pevne,1,24562
vyspelý,1,24517
prudko,-1,24323
spravodlivý,1,24300
oprávnený,1,24157
neuveriteľný,1,23924
intenzívny,1,23775
stabilný,1,23653
jednoznačný,1,23416
nutný,-1,23414
priaznivý,1,23153
zvláštne,1,23044
užitočný,1,22730
gólový,1,22636
intenzívne,1,22449
zbytočne,-1,22287
falošný,-1,22279
normálne,1,22015
odsúdený,-1,21891
zrejmý,1,21854
výberový,1,21723
radikálny,-1,21482
originálny,1,21451
sladký,1,21175
priateľský,1,21111
obžalovaný,-1,20792
ekologický,1,20654
hustý,1,20394
nedostatočný,-1,20266
pomalý,-1,20062
úprimný,1,20008
primeraný,1,19987
tesný,-1,19963
tvrdo,-1,19763
nijako,-1,19539
mohutný,1,19532
otvorene,1,19317
nesprávny,-1,19223
pozorne,1,18998
unavený,-1,18887
rozumný,1,18714
opatrne,1,18556
sklamaný,-1,18486
rizikový,-1,18123
zabezpečený,1,18094
nečakaný,-1,17972
nečakane,-1,17843
romantický,1,17778
logický,1,17718
objektívny,1,17604
nemožný,-1,17595
mäkký,1,17497
hrdý,1,17451
symbolický,1,17433
skromný,1,17306
šikovný,1,17234
neúspešný,-1,17118
úprimne,1,17003
dobrovoľný,1,16983
efektívne,1,16967
tenký,1,16902
nevinný,1,16785
komplikovaný,-1,16784
špecializovaný,1,16602
špinavý,-1,16472
diplomatický,1,16375
slepý,-1,16339
samostatne,1,16171
revolučný,1,16094
márne,-1,16094
rozhodnutý,1,16066
poriadny,1,16048
pravdivý,1,16021
módny,1,15936
pestrý,1,15919
etický,1,15819
opustený,-1,15810
prijateľný,1,15652
dominantný,1,15609
dôkladne,1,15367
zničený,-1,15236
pamätný,1,15213
vďačný,1,15182
útočný,-1,15124
dynamický,1,15101
nadšený,1,15092
bežne,1,15059
spoľahlivý,1,15058
estetický,1,15038
krvavý,-1,15035
odvážny,1,15010
sporný,-1,14938
nezvyčajný,-1,14880
bezplatný,1,14870
predajný,-1,14847
talentovaný,1,14836
nevhodný,-1,14753
temný,-1,14556
univerzálny,1,14555
opatrný,1,14517
posvätný,1,14458
vydarený,1,14363
agresívny,-1,14273
dobrovoľne,1,14117
spevácky,1,13971
spevácky,1,13971
kontroverzný,-1,13888
divoký,-1,13704
sympatický,1,13657
problematický,-1,13566
príjemne,1,13562
radostný,1,13515
mokrý,-1,13410
netradičný,1,13406
inteligentný,1,13303
extrémny,-1,13189
nesprávne,-1,13146
nelegálny,-1,13119
nežný,1,13105
príťažlivý,1,13065
nervózny,-1,13014
úsporný,1,13013
dočasne,-1,12967
zosnulý,-1,12875
dôstojný,1,12823
nespokojný,-1,12798
pohodlný,1,12751
ocenený,1,12689
kladný,1,12657
ekonomicky,1,12589
vzdelaný,1,12451
výstavný,1,12437
jemne,1,12374
integrovaný,1,12370
mravný,1,12366
extrémne,-1,12303
unikátny,1,12193
starostlivo,1,12157
štedrý,1,12153
kvalifikovaný,1,12151
surový,-1,12045
sucho,-1,11958
ojedinelý,1,11856
nadmerný,-1,11854
liečebný,1,11812
uzatvorený,-1,11795
kompetentný,1,11778
osamelý,-1,11679
produktívny,1,11666
hodný,1,11657
objektívne,1,11657
zúfalý,-1,11581
informovaný,1,11562
atletický,1,11556
odkázaný,-1,11515
zaslúžene,1,11392
hladný,-1,11318
nevyhnutne,1,11298
silne,1,11276

